age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job1,marital1,education1,housing1,loan1,contact1,month1,day_of_week1,poutcome1
25,SERVICES,SINGLE,BASIC.6Y,UNKNOWN,YES,NO,CELLULAR,JUL,THU,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.958,5228.1,True,7,2,1,2,0,0,3,2,1
36,SELFEMPLOYED,SINGLE,BASIC.4Y,NO,NO,NO,CELLULAR,JUL,THU,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.968,5228.1,True,6,2,0,0,0,0,3,2,1
36,ADMIN,MARRIED,HIGH.SCHOOL,NO,NO,NO,TELEPHONE,MAY,WED,2.0,999,0,NONEXISTENT,1.1,93.994,-41.8,4.859,5191.0,True,0,1,3,0,0,1,6,4,1
47,BLUECOLLAR,MARRIED,BASIC.4Y,NO,YES,NO,TELEPHONE,JUN,THU,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.958,5228.1,True,1,1,0,2,0,1,4,2,1
29,ADMIN,SINGLE,HIGH.SCHOOL,NO,NO,NO,CELLULAR,MAY,FRI,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,True,0,2,3,0,0,0,6,0,1
27,SERVICES,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,JUL,WED,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.963,5228.1,True,7,2,6,0,0,0,3,4,1
44,ADMIN,DIVORCED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,JUL,WED,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,True,0,0,6,0,0,0,3,4,1
46,ADMIN,DIVORCED,UNIVERSITY.DEGREE,NO,YES,NO,TELEPHONE,JUL,MON,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,True,0,0,6,2,0,1,3,1,1
45,ENTREPRENEUR,MARRIED,UNIVERSITY.DEGREE,UNKNOWN,YES,YES,CELLULAR,AUG,MON,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,3.6207284430410493,5228.1,True,2,1,6,2,2,0,1,1,1
50,BLUECOLLAR,MARRIED,BASIC.4Y,NO,NO,YES,CELLULAR,JUL,TUE,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,True,1,1,0,0,2,0,3,3,1
55,SERVICES,MARRIED,BASIC.6Y,UNKNOWN,YES,NO,CELLULAR,JUL,TUE,6.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,True,7,1,1,2,0,0,3,3,1
39,TECHNICIAN,DIVORCED,HIGH.SCHOOL,NO,NO,NO,CELLULAR,MAR,MON,1.0,12,2,SUCCESS,-1.8,93.369,-34.8,0.639,5008.7,True,9,0,3,0,0,0,5,1,2
29,TECHNICIAN,SINGLE,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,AUG,WED,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.967,5228.1,True,9,2,6,2,2,0,1,4,1
40,MANAGEMENT,MARRIED,HIGH.SCHOOL,NO,NO,YES,CELLULAR,AUG,WED,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,True,4,1,3,0,2,0,1,4,1
44,TECHNICIAN,MARRIED,PROFESSIONAL.COURSE,UNKNOWN,YES,NO,TELEPHONE,MAY,FRI,7.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.864,5191.0,True,9,1,5,2,0,1,6,0,1
38,TECHNICIAN,MARRIED,PROFESSIONAL.COURSE,NO,YES,NO,CELLULAR,AUG,MON,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.965,5228.1,True,9,1,5,2,0,0,1,1,1
36,TECHNICIAN,DIVORCED,PROFESSIONAL.COURSE,NO,NO,NO,TELEPHONE,MAY,WED,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,True,9,0,5,0,0,1,6,4,1
28,BLUECOLLAR,MARRIED,BASIC.6Y,UNKNOWN,UNKNOWN,NO,CELLULAR,MAY,MON,2.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,True,1,1,1,1,0,0,6,1,0
47,ADMIN,SINGLE,UNKNOWN,UNKNOWN,NO,NO,TELEPHONE,MAY,THU,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,True,0,2,7,0,0,1,6,2,1
34,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,AUG,TUE,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,True,0,1,6,0,0,0,1,3,1
38,TECHNICIAN,MARRIED,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,MAR,TUE,1.0,999,1,FAILURE,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,True,9,1,6,2,2,0,5,3,0
33,SERVICES,MARRIED,HIGH.SCHOOL,UNKNOWN,YES,NO,TELEPHONE,JUN,MON,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,True,7,1,3,2,0,1,4,1,1
51,TECHNICIAN,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,JUN,FRI,2.0,999,0,NONEXISTENT,-2.9,92.963,-40.8,1.268,5076.2,True,9,2,6,0,0,0,4,0,1
30,BLUECOLLAR,SINGLE,BASIC.4Y,UNKNOWN,YES,NO,TELEPHONE,JUN,TUE,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,True,1,2,0,2,0,1,4,3,1
48,TECHNICIAN,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,AUG,THU,7.0,999,0,NONEXISTENT,1.4,93.749,-36.1,4.962,5228.1,True,9,1,6,0,0,0,1,2,1
28,BLUECOLLAR,SINGLE,BASIC.9Y,NO,YES,NO,TELEPHONE,JUN,WED,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,True,1,2,2,2,0,1,4,4,1
36,BLUECOLLAR,MARRIED,BASIC.6Y,NO,YES,NO,TELEPHONE,MAY,WED,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.859,5191.0,True,1,1,1,2,0,1,6,4,1
46,MANAGEMENT,DIVORCED,HIGH.SCHOOL,NO,NO,NO,CELLULAR,NOV,WED,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.12,5195.8,True,4,0,3,0,0,0,7,4,1
31,TECHNICIAN,SINGLE,UNKNOWN,NO,YES,NO,CELLULAR,MAY,WED,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.334,5099.1,True,9,2,7,2,0,0,6,4,0
20,STUDENT,SINGLE,UNKNOWN,NO,NO,NO,CELLULAR,OCT,MON,3.0,999,3,FAILURE,-1.1,94.601,-49.5,0.977,4963.6,True,8,2,7,0,0,0,8,1,0
35,SERVICES,MARRIED,HIGH.SCHOOL,UNKNOWN,YES,NO,CELLULAR,MAY,TUE,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.344,5099.1,True,7,1,3,2,0,0,6,3,1
38,BLUECOLLAR,MARRIED,BASIC.9Y,UNKNOWN,UNKNOWN,UNKNOWN,TELEPHONE,JUN,FRI,1.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.967,5228.1,True,1,1,2,1,1,1,4,0,1
76,RETIRED,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,AUG,THU,1.0,999,1,FAILURE,-1.7,94.027,-38.3,0.899,4991.6,True,5,1,6,0,0,0,1,2,0
45,ENTREPRENEUR,DIVORCED,PROFESSIONAL.COURSE,NO,YES,NO,CELLULAR,JUL,TUE,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,True,2,0,5,2,0,0,3,3,1
32,HOUSEMAID,MARRIED,BASIC.4Y,NO,YES,YES,CELLULAR,MAY,FRI,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,True,3,1,0,2,2,0,6,0,1
39,MANAGEMENT,SINGLE,UNIVERSITY.DEGREE,UNKNOWN,NO,NO,CELLULAR,MAY,THU,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,True,4,2,6,0,0,0,6,2,1
32,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,TELEPHONE,NOV,THU,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.592,5195.8,True,0,1,6,0,0,1,7,2,1
29,ADMIN,SINGLE,BASIC.9Y,NO,NO,NO,CELLULAR,MAY,MON,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,True,0,2,2,0,0,0,6,1,1
44,SERVICES,MARRIED,PROFESSIONAL.COURSE,NO,NO,NO,CELLULAR,AUG,MON,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.97,5228.1,True,7,1,5,0,0,0,1,1,1
32,SERVICES,MARRIED,HIGH.SCHOOL,NO,NO,YES,CELLULAR,JUL,FRI,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.957,5228.1,True,7,1,3,0,2,0,3,0,1
56,RETIRED,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,JUN,WED,1.0,999,2,FAILURE,-2.9,92.963,-40.8,1.26,5076.2,True,5,1,6,2,0,0,4,4,0
33,BLUECOLLAR,MARRIED,BASIC.9Y,NO,YES,NO,CELLULAR,MAY,THU,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.327,5099.1,True,1,1,2,2,0,0,6,2,1
39,MANAGEMENT,MARRIED,HIGH.SCHOOL,NO,NO,NO,CELLULAR,AUG,FRI,3.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,True,4,1,3,0,0,0,1,0,1
24,TECHNICIAN,MARRIED,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,SEP,TUE,2.0,3,1,SUCCESS,-3.4,92.37899999999999,-29.8,0.77,5017.5,True,9,1,6,2,2,0,9,3,2
33,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,MAY,THU,1.0,999,0,NONEXISTENT,0.08518338596065096,92.89299999999999,-46.2,1.327,5099.1,True,0,2,6,2,0,0,6,2,1
58,ENTREPRENEUR,DIVORCED,UNIVERSITY.DEGREE,NO,NO,NO,TELEPHONE,JUN,THU,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.8660000000000005,5228.1,True,2,0,6,0,0,1,4,2,1
29,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,YES,NO,TELEPHONE,JUN,FRI,27.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,True,0,2,6,2,0,1,4,0,1
31,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,AUG,THU,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,True,0,1,6,2,0,0,1,2,1
27,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,TELEPHONE,MAY,WED,5.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,True,0,1,6,0,0,1,6,4,1
60,ADMIN,DIVORCED,PROFESSIONAL.COURSE,NO,YES,NO,CELLULAR,SEP,WED,1.0,999,1,FAILURE,-1.1,94.199,-37.5,0.8859999999999999,4963.6,True,0,0,5,2,0,0,9,4,0
55,ENTREPRENEUR,MARRIED,PROFESSIONAL.COURSE,NO,YES,YES,CELLULAR,OCT,MON,1.0,999,2,FAILURE,-3.4,92.431,-26.9,0.7390000000000001,5017.5,True,2,1,5,2,2,0,8,1,0
37,BLUECOLLAR,MARRIED,BASIC.9Y,NO,YES,NO,CELLULAR,MAY,WED,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.334,5099.1,True,1,1,2,2,0,0,6,4,1
52,ADMIN,MARRIED,UNKNOWN,NO,YES,NO,TELEPHONE,APR,WED,1.0,6,1,SUCCESS,-1.8,93.749,-34.6,0.654,5008.7,True,0,1,7,2,0,1,0,4,2
46,SERVICES,MARRIED,HIGH.SCHOOL,NO,YES,NO,CELLULAR,APR,MON,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,True,7,1,3,2,0,0,0,1,1
42,BLUECOLLAR,DIVORCED,BASIC.6Y,NO,YES,NO,CELLULAR,MAY,WED,2.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.281,5099.1,True,1,0,1,2,0,0,6,4,1
35,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,JUL,MON,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,True,0,2,6,2,0,0,3,1,1
49,TECHNICIAN,DIVORCED,UNKNOWN,NO,YES,YES,CELLULAR,OCT,THU,1.0,999,0,NONEXISTENT,-3.4,92.431,-26.9,0.754,5017.5,True,9,0,7,2,2,0,8,2,1
29,SERVICES,DIVORCED,HIGH.SCHOOL,NO,NO,YES,TELEPHONE,JUN,MON,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,True,7,0,3,0,2,1,4,1,1
32,BLUECOLLAR,MARRIED,BASIC.9Y,NO,NO,NO,CELLULAR,NOV,MON,2.0,5,1,SUCCESS,-0.1,93.2,-42.0,4.191,5195.8,True,1,1,2,0,0,0,7,1,2
37,SELFEMPLOYED,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,MAY,FRI,1.0,999,1,FAILURE,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,True,6,1,6,0,0,0,6,0,0
39,TECHNICIAN,SINGLE,PROFESSIONAL.COURSE,UNKNOWN,NO,NO,TELEPHONE,JUN,MON,4.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.865,5228.1,True,9,2,5,0,0,1,4,1,1
51,SERVICES,MARRIED,HIGH.SCHOOL,UNKNOWN,YES,NO,TELEPHONE,JUL,MON,3.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,True,7,1,3,2,0,1,3,1,1
28,ADMIN,SINGLE,HIGH.SCHOOL,NO,YES,NO,CELLULAR,MAY,TUE,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.291,5099.1,True,0,2,3,2,0,0,6,3,1
34,MANAGEMENT,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,MAY,WED,4.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.281,5099.1,True,4,1,6,2,0,0,6,4,1
31,TECHNICIAN,SINGLE,HIGH.SCHOOL,NO,YES,YES,CELLULAR,AUG,TUE,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,True,9,2,3,2,2,0,1,3,1
31,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,AUG,THU,5.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.962,5228.1,True,0,1,6,2,0,0,1,2,1
31,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,YES,NO,TELEPHONE,JUN,WED,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,True,0,2,6,2,0,1,4,4,1
38,SELFEMPLOYED,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,TELEPHONE,MAY,THU,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.855,5191.0,True,6,2,6,0,0,1,6,2,1
33,UNEMPLOYED,MARRIED,BASIC.9Y,NO,NO,NO,TELEPHONE,JUN,FRI,6.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.959,5228.1,True,10,1,2,0,0,1,4,0,1
32,TECHNICIAN,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,AUG,TUE,12.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.966,5228.1,True,9,2,6,0,0,0,1,3,1
54,TECHNICIAN,MARRIED,PROFESSIONAL.COURSE,UNKNOWN,YES,NO,CELLULAR,APR,MON,1.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.405,5099.1,True,9,1,5,2,0,0,0,1,1
41,ADMIN,DIVORCED,HIGH.SCHOOL,NO,YES,NO,TELEPHONE,JUN,TUE,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,True,0,0,3,2,0,1,4,3,1
59,SERVICES,MARRIED,BASIC.4Y,UNKNOWN,NO,NO,CELLULAR,AUG,THU,7.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.963,5228.1,True,7,1,0,0,0,0,1,2,1
57,RETIRED,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,APR,THU,1.0,2,1,SUCCESS,-1.8,93.075,-47.1,1.365,5099.1,True,5,1,6,2,0,0,0,2,2
38,ENTREPRENEUR,DIVORCED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,NOV,THU,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,True,2,0,6,2,0,0,7,2,1
46,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,TELEPHONE,MAY,TUE,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,True,0,1,6,2,0,1,6,3,1
37,UNEMPLOYED,SINGLE,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,NOV,TUE,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,True,10,2,6,2,2,0,7,3,1
47,SERVICES,SINGLE,BASIC.9Y,NO,UNKNOWN,UNKNOWN,TELEPHONE,JUN,THU,3.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,True,7,2,2,1,1,1,4,2,1
45,ADMIN,SINGLE,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,AUG,THU,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,True,0,2,6,0,0,0,1,2,1
36,BLUECOLLAR,MARRIED,BASIC.6Y,NO,YES,NO,TELEPHONE,JUL,WED,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,True,1,1,1,2,0,1,3,4,1
40,UNEMPLOYED,SINGLE,HIGH.SCHOOL,NO,YES,NO,CELLULAR,JUL,MON,5.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.96,5228.1,True,10,2,3,2,0,0,3,1,1
38,BLUECOLLAR,MARRIED,BASIC.9Y,NO,NO,NO,CELLULAR,NOV,TUE,2.0,999,1,FAILURE,-0.1,93.2,-42.0,4.1530000000000005,5195.8,True,1,1,2,0,0,0,7,3,0
44,BLUECOLLAR,MARRIED,HIGH.SCHOOL,UNKNOWN,NO,NO,TELEPHONE,JUN,TUE,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,True,1,1,3,0,0,1,4,3,1
25,SELFEMPLOYED,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,TELEPHONE,MAY,FRI,2.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,True,6,1,6,2,0,1,6,0,1
30,BLUECOLLAR,SINGLE,BASIC.6Y,NO,YES,NO,TELEPHONE,JUL,TUE,5.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,True,1,2,1,2,0,1,3,3,1
43,MANAGEMENT,MARRIED,PROFESSIONAL.COURSE,NO,NO,NO,CELLULAR,NOV,TUE,2.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,True,4,1,5,0,0,0,7,3,1
58,RETIRED,MARRIED,BASIC.6Y,UNKNOWN,NO,NO,TELEPHONE,MAY,MON,3.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,True,5,1,1,0,0,1,6,1,1
31,TECHNICIAN,MARRIED,PROFESSIONAL.COURSE,NO,YES,NO,TELEPHONE,MAY,WED,6.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.856,5191.0,True,9,1,5,2,0,1,6,4,1
53,MANAGEMENT,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,CELLULAR,JUL,TUE,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,True,4,1,6,0,0,0,3,3,1
52,ADMIN,MARRIED,UNKNOWN,NO,NO,NO,CELLULAR,AUG,TUE,1.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.968,5228.1,True,0,1,7,0,0,0,1,3,1
37,MANAGEMENT,MARRIED,UNIVERSITY.DEGREE,UNKNOWN,NO,YES,CELLULAR,APR,FRI,1.0,999,1,FAILURE,-1.8,93.075,-47.1,1.405,5099.1,True,4,1,6,0,2,0,0,0,0
58,ADMIN,MARRIED,HIGH.SCHOOL,UNKNOWN,YES,NO,CELLULAR,JUL,TUE,1.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.961,5228.1,True,0,1,3,2,0,0,3,3,1
37,SERVICES,MARRIED,HIGH.SCHOOL,NO,YES,YES,CELLULAR,MAY,THU,3.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.266,5099.1,True,7,1,3,2,2,0,6,2,1
38,ADMIN,SINGLE,UNKNOWN,NO,YES,NO,CELLULAR,MAY,FRI,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,True,0,2,7,2,0,0,6,0,1
33,SERVICES,SINGLE,BASIC.9Y,NO,YES,NO,CELLULAR,APR,THU,2.0,999,0,NONEXISTENT,-1.8,93.075,-47.1,1.41,5099.1,True,7,2,2,2,0,0,0,2,1
45,SERVICES,MARRIED,HIGH.SCHOOL,UNKNOWN,YES,NO,CELLULAR,MAY,FRI,1.0,999,0,NONEXISTENT,-1.8,92.89299999999999,-46.2,1.25,5099.1,True,7,1,3,2,0,0,6,0,1
44,ENTREPRENEUR,MARRIED,PROFESSIONAL.COURSE,NO,NO,NO,TELEPHONE,MAY,MON,1.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.8580000000000005,5191.0,True,2,1,5,0,0,1,6,1,1
38,BLUECOLLAR,MARRIED,BASIC.6Y,NO,YES,NO,TELEPHONE,JUL,THU,2.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.966,5228.1,True,1,1,1,2,0,1,3,2,1
34,BLUECOLLAR,MARRIED,BASIC.9Y,NO,NO,NO,TELEPHONE,JUN,TUE,1.0,999,0,NONEXISTENT,-1.7,94.055,-39.8,0.7020000000000001,4991.6,True,1,1,2,0,0,1,4,3,1
47,MANAGEMENT,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,JUL,WED,1.0,999,0,NONEXISTENT,-2.9,92.469,-33.6,1.0290000000000001,5076.2,True,4,1,6,2,0,0,3,4,1
59,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,JUL,WED,1.0,999,0,NONEXISTENT,-2.9,92.469,-33.6,1.085,5076.2,True,0,1,6,2,2,0,3,4,1
51,BLUECOLLAR,MARRIED,BASIC.4Y,UNKNOWN,YES,YES,CELLULAR,AUG,THU,2.0,999,0,NONEXISTENT,1.4,93.444,-36.1,4.9639999999999995,5228.1,True,1,1,0,2,2,0,1,2,1
31,BLUECOLLAR,MARRIED,BASIC.6Y,NO,YES,NO,TELEPHONE,JUN,WED,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.864,5228.1,True,1,1,1,2,0,1,4,4,1
56,MANAGEMENT,MARRIED,UNIVERSITY.DEGREE,NO,YES,YES,CELLULAR,NOV,WED,1.0,999,1,FAILURE,-0.1,93.2,-42.0,4.12,5195.8,True,4,1,6,2,2,0,7,4,0
39,ADMIN,MARRIED,UNIVERSITY.DEGREE,NO,NO,NO,TELEPHONE,JUN,MON,2.0,999,0,NONEXISTENT,1.4,94.465,-41.8,4.961,5228.1,True,0,1,6,0,0,1,4,1,1
41,ENTREPRENEUR,MARRIED,UNIVERSITY.DEGREE,NO,YES,NO,CELLULAR,NOV,TUE,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.1530000000000005,5195.8,True,2,1,6,2,0,0,7,3,1
41,MANAGEMENT,DIVORCED,BASIC.6Y,NO,YES,NO,CELLULAR,NOV,THU,1.0,999,0,NONEXISTENT,-0.1,93.2,-42.0,4.0760000000000005,5195.8,True,4,0,1,2,0,0,7,2,1
53,SERVICES,MARRIED,HIGH.SCHOOL,UNKNOWN,NO,NO,TELEPHONE,MAY,THU,4.0,999,0,NONEXISTENT,1.1,93.994,-36.4,4.86,5191.0,True,7,1,3,0,0,1,6,2,1
35,BLUECOLLAR,MARRIED,HIGH.SCHOOL,NO,NO,YES,CELLULAR,JUL,MON,4.0,999,0,NONEXISTENT,1.4,93.91799999999999,-42.7,4.962,5228.1,True,1,1,3,0,2,0,3,1,1
